X1,X2,X3,X4,X5,X6
66.9,0.93,2972.41,3290.73,2.525,49.7
80.2,1.64,4803.54,2871.62,1.774,49.6
1621.8,2.03,4803.54,2871.81,0.8004,54
635.4,2.76,2257.66,1499.14,0.555,56.2
514.1,10.17,5834.94,1550.15,0.9051,66.4
605.1,2.96,3108.86,2059.35,1.4752,53.1
534.2,4.73,4767.51,1940.46,1.1154,63.1
494.8,8.24,5573.02,2075.42,1.6283,57.8
66,1.02,1660.03,4571.81,3.0448,35.6
1530.2,1.26,2826.86,2868.33,1.1921,50.6
1123.1,0.94,5494.23,3289.07,0.8565,63.3
1953.6,1.44,3573.62,1508.24,0.5756,59.2
775.8,0.82,2410.05,2295.19,1.1496,62.8
1103.2,1.3,2310.98,1804.93,0.6649,59.9
2475.1,1.44,3109.11,1989.53,0.8809,55
2815.8,1.5,3782.26,1508.36,0.5823,58.5
1296.5,1.6,2291.6,1754.13,0.8799,62.8
2089.3,1.42,2348.72,1719.18,0.587,64.7
1439.8,0.88,3249.61,2928.24,1.096,59.7
1579.9,1.43,3090.17,1590.9,0.5694,64.5
165.9,1.35,4454.77,1575.49,0.3535,65.2
3903.7,1.08,2870.45,1340.61,0.4443,64.1
1376.6,1.18,2282.27,1206.25,0.2892,65.4
1642.2,2.42,4025.06,1096.73,0.3456,64.2
88.6,2.51,11559.83,1257.71,0.4349,70.4
1046.1,2.6,2228.55,1091.96,0.4383,59.7
672,5.86,2879.36,1037.12,0.4883,57.2
137.1,2.62,6725.11,1133.06,0.4096,70.3
139.1,4.01,5607.97,1346.89,0.4973,62.5
288.5,3.96,7438.13,1161.71,1.4939,57.8
